"Subject","Gender","AFQT","Income2005","Edu2006"
2,"female",6.841,5.5,12
6,"male",99.393,65,16
7,"male",47.412,19,12
8,"female",44.022,36,14
9,"male",59.683,65,14
13,"male",72.313,8,16
16,"female",50.283,71,13
17,"male",89.669,43,13
18,"male",95.977,120,13
20,"female",67.021,64,17
21,"female",88.416,253.043,16
22,"female",89.167,45.3,16
29,"female",25.905,85,12
34,"male",6.069,150.432,13
37,"female",56.29,37,12
38,"female",12.788,70,12
39,"male",26.851,67,12
41,"male",57.095,120,15
42,"male",22.326,45,12
44,"female",37.061,7.2,12
46,"female",78.095,42,19
47,"male",75.473,66.309,12
49,"female",71.226,34,14
57,"female",30.83,12,12
58,"female",91.625,55.5,17
61,"female",99.15,63,14
62,"female",36.384,30,13
63,"male",87.934,108,16
69,"male",86.703,120,18
73,"male",81.527,186.135,18
78,"female",85.347,14.657,16
86,"female",7.198,14,9
87,"male",12.463,17,12
89,"female",84.98,62,16
97,"female",59.411,49,14
105,"female",81.787,40,12
106,"male",87.651,105,16
107,"male",65.347,43,16
117,"male",98.349,83,15
119,"male",27.671,12,16
120,"male",97.847,150,16
121,"female",92.618,41,17
126,"male",67.259,85,14
129,"male",92.817,80,16
133,"female",57.983,52,12
137,"female",87.283,175.829,16
138,"female",88.326,8,16
139,"male",79.832,120,15
140,"female",72.878,65,17
141,"female",85.861,44.768,18
143,"female",59.838,52,14
145,"male",62.607,10,12
146,"male",86.932,50,12
147,"female",22.466,12,14
148,"male",74.997,21.8,12
149,"female",39.973,95,12
152,"female",93.332,85,12
156,"male",4.975,14,11
158,"female",85.206,35.1,17
160,"female",77.44,65,14
162,"male",98.253,76,18
165,"female",46.506,50,12
166,"male",58.432,82,13
174,"female",47.279,48,13
179,"female",30.455,29,12
184,"female",59.078,6,16
185,"male",77.155,34,12
186,"female",81.515,65,18
188,"female",11.983,15,10
190,"female",73.636,92,18
191,"male",89.27,118,19
192,"female",80.48,26,16
193,"male",45.527,105,16
195,"male",87.917,348.204,18
197,"female",17.107,17,12
198,"male",64.239,130,18
199,"male",19.225,38,12
200,"female",27.551,35,12
201,"male",86.603,16,16
202,"male",73.184,55,14
207,"male",25.802,32,12
210,"male",59.04,50,16
218,"male",81.447,261.763,16
219,"female",60.012,102,20
220,"female",89.381,105,20
228,"female",2.739,1.6,9
230,"male",34.084,55,15
232,"male",55.78,45,14
233,"male",31.472,39,12
234,"male",35.461,140,12
235,"male",61.313,98,15
236,"female",71.673,30,13
239,"female",13.294,9,10
240,"female",50.483,38,12
242,"female",30.481,75,12
243,"male",62.957,94.6,12
244,"female",73.828,5,12
245,"female",81.929,25,14
247,"male",52.544,79,20
248,"male",8.261,2,14
253,"male",34.745,20,11
256,"female",56.308,3,13
257,"male",58.214,22,12
259,"male",56.348,14,12
260,"male",83.227,65,14
269,"male",83.698,154.541,16
273,"male",64.372,61.5,15
274,"male",88.343,45,13
275,"female",72.963,52,14
279,"male",59.272,64.5,12
281,"male",72.769,99,18
282,"female",85.4,14,16
283,"male",15.136,53,12
284,"male",44.708,90,12
285,"female",15.448,35,10
290,"female",11.136,19,10
294,"female",62.191,12,12
299,"male",12.439,25,11
306,"male",27.277,40,14
310,"male",18.491,70,12
313,"male",30.794,37,11
317,"male",78.739,31.5,16
321,"female",76.525,69,16
323,"male",65.825,80,12
324,"male",10.373,23,9
327,"female",88.257,28,16
335,"female",62.746,10,15
341,"female",46.696,125,14
342,"male",95.123,96,17
346,"male",43.221,120,16
348,"male",36.155,164.307,12
350,"male",47.18,100,17
351,"male",19.021,39,12
354,"female",65.997,9.6,12
355,"male",55.481,120,13
356,"male",41.794,50,11
357,"male",68.746,80,16
358,"male",28.374,110,16
359,"female",37.74,60,16
360,"female",80.272,34,19
362,"male",19.625,48,12
367,"female",76.624,58,16
369,"female",91.042,12,16
370,"female",89.893,20,16
373,"female",11.771,9,12
375,"male",11.374,17.5,12
376,"male",83.17,47,18
377,"male",32.899,10,12
381,"male",49.149,105,12
385,"female",39.687,41.5,12
386,"female",63.197,43,12
388,"female",78.241,70,15
391,"female",23.959,35,12
392,"male",93.142,60,12
393,"male",76.768,68,13
399,"female",66.314,62.5,18
400,"female",100,75,16
401,"female",24.833,11.5,12
405,"female",16.239,26,13
408,"male",85.102,68,12
409,"male",90.513,180.733,16
410,"male",68.615,31.085,12
411,"male",18.169,16,12
414,"female",73.351,21,14
418,"female",60.767,28,13
422,"male",99.379,55,19
426,"male",27.838,82,12
433,"male",1.622,21.528,12
434,"male",65.734,59,12
437,"female",71.472,22,12
438,"female",79.95,36,13
439,"female",75.485,77,16
442,"female",64.195,15,13
443,"male",97.365,47,14
444,"female",80.238,1.5,16
445,"male",93.639,40,16
446,"female",25.328,32,12
449,"female",47.638,14,12
453,"male",72.199,40.3,13
456,"male",48.986,50,18
457,"male",78.555,53,16
458,"female",86.548,65,18
459,"female",85.905,10,20
460,"female",31.254,21.4,13
461,"male",90.491,85,16
464,"male",79.33,78,14
465,"female",85.844,12,12
467,"female",95.508,20,16
470,"male",11.35,46,12
479,"male",76.189,86,16
480,"male",51.896,60,18
481,"male",93.653,388.725,19
482,"male",77.991,122,19
484,"male",13.303,30,12
485,"female",8.229,12,12
486,"male",50.498,196.424,12
489,"male",59.586,85,14
491,"female",13.761,20,12
495,"female",69.07,29.821,14
496,"female",92.866,25,16
499,"female",39.163,36,13
500,"female",64.295,53,14
501,"female",78.966,25,19
502,"male",71.792,90,12
503,"female",56.773,23,12
505,"male",26.498,28,12
506,"female",43.741,43,16
520,"male",26.381,73,16
521,"male",37.473,80,17
527,"female",61.184,50,13
533,"female",55.185,5,15
